,Category_0,Category_1,Category_2,Category_3,Category_4,Category_5,Rating,Reviews,Size,Installs,Free,Price,Avalible_age,Genres_0,Genres_1,Genres_2,Genres_3,Genres_4,Genres_5,Genres_6
47,0,0,0,0,0,1,4.2,85,8000000.0,100000,0,0.0,0,0,0,0,0,0,0,1
48,0,0,0,0,0,1,4.3,845,7900000.0,100000,0,0.0,0,0,0,0,0,0,0,1
49,0,0,0,0,1,0,4.2,367,25000000.0,100000,0,0.0,0,0,0,0,0,1,0,0
50,0,0,0,0,1,0,4.0,1598,56000000.0,1000000,0,0.0,0,0,0,0,0,1,0,0
51,0,0,0,0,1,0,3.8,284,57000000.0,100000,0,0.0,0,0,0,0,0,1,0,0
52,0,0,0,0,1,0,4.6,17057,57000000.0,1000000,0,0.0,0,0,0,0,0,1,0,0
53,0,0,0,0,1,0,3.9,129,35000000.0,100000,0,0.0,0,0,0,0,0,1,0,0
54,0,0,0,0,1,0,4.3,542,33000000.0,100000,0,0.0,0,0,0,0,0,1,0,0
55,0,0,0,0,1,0,4.9,10479,33000000.0,100000,0,0.0,0,0,0,0,0,1,0,0
56,0,0,0,0,1,0,4.4,805,5600000.0,50000,0,0.0,0,0,0,0,0,1,0,0
57,0,0,0,0,1,0,4.2,129,54000000.0,100000,0,0.0,0,0,0,0,0,1,0,0
58,0,0,0,0,1,0,4.0,1403,201000.0,100000,0,0.0,0,0,0,0,0,1,0,0
59,0,0,0,0,1,0,3.9,3971,3600000.0,100000,0,0.0,0,0,0,0,0,1,0,0
60,0,0,0,0,1,0,4.6,534,5700000.0,10000,0,0.0,0,0,0,0,0,1,0,0
61,0,0,0,0,1,0,4.9,7774,17000000.0,100000,0,0.0,0,0,0,0,0,1,0,0
62,0,0,0,0,1,0,4.3,38846,8600000.0,1000000,0,0.0,0,0,0,0,0,1,0,0
63,0,0,0,0,1,0,4.6,2431,2400000.0,100000,0,0.0,0,0,0,0,0,1,0,0
64,0,0,0,0,1,0,4.9,6090,27000000.0,100000,0,0.0,0,0,0,0,0,1,0,0
65,0,0,0,0,1,0,3.9,295,2700000.0,10000,0,0.0,0,0,0,0,0,1,0,0
66,0,0,0,0,1,0,4.0,190,2500000.0,50000,0,0.0,0,0,0,0,0,1,0,0
67,0,0,0,0,1,0,4.3,40211,2500000.0,5000000,0,0.0,0,0,0,0,0,1,0,0
68,0,0,0,0,1,0,3.9,356,2500000.0,100000,0,0.0,0,0,0,0,0,1,0,0
69,0,0,0,0,1,0,4.2,52530,7000000.0,5000000,0,0.0,0,0,0,0,0,1,0,0
70,0,0,0,0,1,0,4.8,116986,35000000.0,5000000,0,0.0,0,0,0,0,0,1,0,0
71,0,0,0,0,1,0,3.6,1379,16000000.0,500000,0,0.0,0,0,0,0,0,1,0,0
72,0,0,0,0,1,0,4.2,271920,16000000.0,10000000,0,0.0,1,0,0,0,0,1,0,0
73,0,0,0,0,1,0,4.8,736,16000000.0,100000,0,0.0,0,0,0,0,0,1,0,0
74,0,0,0,0,1,0,4.8,7021,17000000.0,500000,0,0.0,0,0,0,0,0,1,0,0
75,0,0,0,0,1,0,4.6,197,3400000.0,50000,0,0.0,0,0,0,0,0,1,0,0
76,0,0,0,0,1,0,4.5,737,8900000.0,100000,0,0.0,0,0,0,0,0,1,0,0
77,0,0,0,0,1,0,4.3,3574,3900000.0,1000000,0,0.0,1,0,0,0,0,1,0,0
78,0,0,0,0,1,0,4.5,994,2900000.0,100000,0,0.0,0,0,0,0,0,1,0,0
79,0,0,0,0,1,0,4.9,197136,38000000.0,1000000,0,0.0,0,0,0,0,0,1,0,0
80,0,0,0,0,1,0,3.9,142,32000000.0,50000,0,0.0,0,0,0,0,0,1,0,0
81,0,0,0,0,1,0,4.4,15168,37000000.0,1000000,0,0.0,0,0,0,0,0,1,0,0
82,0,0,0,0,1,0,4.0,2155,15000000.0,500000,0,0.0,0,0,0,0,0,1,0,0
83,0,0,0,0,1,0,4.3,138,5400000.0,100000,0,0.0,0,0,0,0,0,1,0,0
84,0,0,0,0,1,0,3.7,5414,18000000.0,1000000,0,0.0,0,0,0,0,0,1,0,0
85,0,0,0,0,1,0,4.4,21777,18000000.0,1000000,0,0.0,0,0,0,0,0,1,0,0
86,0,0,0,0,1,0,4.3,348,38000000.0,100000,0,0.0,0,0,0,0,0,1,0,0
87,0,0,0,0,1,0,3.2,250,1100000.0,100000,0,0.0,0,0,0,0,0,1,0,0
88,0,0,0,0,1,0,4.6,13372,1100000.0,1000000,0,0.0,0,0,0,0,0,1,0,0
89,0,0,0,0,1,0,4.6,7880,1100000.0,100000,0,0.0,0,0,0,0,0,1,0,0
90,0,0,0,0,1,0,4.5,3617,7900000.0,100000,0,0.0,0,0,0,0,0,1,0,0
91,0,0,0,0,1,0,3.7,4806,35000000.0,1000000,0,0.0,0,0,0,0,0,1,0,0
92,0,0,0,0,1,0,4.6,65786,35000000.0,1000000,0,0.0,0,0,0,0,0,1,0,0
93,0,0,0,0,1,0,4.6,31433,17000000.0,1000000,0,0.0,0,0,0,0,0,1,0,0
94,0,0,0,0,1,0,4.6,5097,19000000.0,1000000,0,0.0,0,0,0,0,0,1,0,0
95,0,0,0,0,1,0,4.0,1754,14000000.0,500000,0,0.0,0,0,0,0,0,1,0,0
96,0,0,0,0,1,0,4.4,2680,2200000.0,500000,0,0.0,0,0,0,0,0,1,0,0
97,0,0,0,0,1,0,4.0,1288,4500000.0,100000,0,0.0,0,0,0,0,0,1,0,0
98,0,0,0,0,1,1,4.7,18900,17000000.0,500000,0,0.0,0,0,0,0,0,1,0,1
99,0,0,0,0,1,1,4.9,49790,14000000.0,1000000,0,0.0,0,0,0,0,0,1,0,1
100,0,0,0,0,1,1,4.7,1150,9800000.0,100000,0,0.0,0,0,0,0,0,1,0,1
101,0,0,0,0,1,1,3.9,1739,21000000.0,500000,0,0.0,0,0,0,0,0,1,0,1
102,0,0,0,0,1,1,3.9,32090,21000000.0,1000000,0,0.0,0,0,0,0,0,1,0,1
103,0,0,0,0,1,1,4.2,2225,52000000.0,500000,0,0.0,0,0,0,0,0,1,0,1
104,0,0,0,0,1,1,4.6,4369,14000000.0,100000,0,0.0,0,0,0,0,0,1,0,1
105,0,0,0,0,1,1,4.3,8572,25000000.0,1000000,0,0.0,0,0,0,0,0,1,0,1
106,0,0,0,0,1,1,4.7,964,9000000.0,50000,0,0.0,0,0,0,0,0,1,0,1
107,0,0,0,0,1,1,4.7,42050,9000000.0,1000000,0,0.0,0,0,0,0,0,1,0,1
108,0,0,0,0,1,1,4.8,104,12000000.0,10000,0,0.0,0,0,0,0,0,1,0,1
109,0,0,0,0,1,1,4.2,17934,12000000.0,1000000,0,0.0,0,0,0,0,0,1,0,1
110,0,0,0,0,1,1,4.3,601,35000000.0,100000,0,0.0,0,0,0,0,0,1,0,1
111,0,0,0,0,1,1,4.5,36,6700000.0,10000,0,0.0,0,0,0,0,0,1,0,1
112,0,0,0,0,1,1,4.1,187,30000000.0,50000,0,0.0,1,0,0,0,0,1,0,1
114,0,0,0,0,1,1,4.2,30,2900000.0,10000,0,0.0,0,0,0,0,0,1,0,1
115,0,0,0,0,1,1,4.5,134,17000000.0,10000,0,0.0,0,0,0,0,0,1,0,1
116,0,0,0,0,1,1,4.4,74,2900000.0,10000,0,0.0,0,0,0,0,0,1,0,1
117,0,0,0,0,1,1,4.0,113715,2900000.0,10000000,0,0.0,0,0,0,0,0,1,0,1
118,0,0,0,0,1,1,4.1,3595,2900000.0,500000,0,0.0,0,0,0,0,0,1,0,1
119,0,0,0,0,1,1,4.1,9315,2600000.0,1000000,0,0.0,0,0,0,0,0,1,0,1
120,0,0,0,0,1,1,4.4,75,4200000.0,50000,0,0.0,0,0,0,0,0,1,0,1
121,0,0,0,0,1,1,4.6,38,7100000.0,10000,0,0.0,0,0,0,0,0,1,0,1
122,0,0,0,0,1,1,4.5,26834,57000000.0,1000000,0,0.0,0,0,0,0,0,1,0,1
124,0,0,0,0,1,1,3.9,2277,22000000.0,500000,0,0.0,0,0,0,0,0,1,0,1
125,0,0,0,0,1,1,4.4,2280,24000000.0,500000,0,0.0,0,0,0,0,0,1,0,1
127,0,0,0,0,1,1,4.6,184,21000000.0,10000,0,0.0,0,0,0,0,0,1,0,1
128,0,0,0,0,1,1,3.8,9,3400000.0,5000,0,0.0,0,0,0,0,0,1,0,1
131,0,0,0,0,1,1,4.0,364,6400000.0,100000,0,0.0,0,0,0,0,0,1,0,1
132,0,0,0,0,1,1,4.3,18,3200000.0,5000,0,0.0,0,0,0,0,0,1,0,1
133,0,0,0,0,1,1,4.5,473,8199999.999999999,100000,0,0.0,2,0,0,0,0,1,0,1
135,0,0,0,0,1,1,4.1,66,2900000.0,10000,0,0.0,0,0,0,0,0,1,0,1
136,0,0,0,0,1,1,3.7,3871,23000000.0,1000000,0,0.0,0,0,0,0,0,1,0,1
137,0,0,0,0,1,1,4.7,257,4600000.0,50000,0,0.0,0,0,0,0,0,1,0,1
138,0,0,0,0,1,1,4.2,62,3100000.0,10000,0,0.0,0,0,0,0,0,1,0,1
139,0,0,0,1,0,0,4.6,2914724,3100000.0,100000000,0,0.0,1,0,0,0,0,1,1,0
140,0,0,0,1,0,0,4.5,1857,4900000.0,50000,0,0.0,0,0,0,0,0,1,1,0
141,0,0,0,1,0,0,4.6,4478,9500000.0,100000,0,0.0,1,0,0,0,0,1,1,0
142,0,0,0,1,0,0,4.4,577550,9500000.0,10000000,0,0.0,0,0,0,0,0,1,1,0
143,0,0,0,1,0,0,4.2,814080,9500000.0,100000000,0,0.0,1,0,0,0,0,1,1,0
144,0,0,0,1,0,0,4.5,246315,9500000.0,10000000,0,0.0,0,0,0,0,0,1,1,0
145,0,0,0,1,0,0,4.5,454060,9500000.0,10000000,0,0.0,0,0,0,0,0,1,1,0
146,0,0,0,1,0,0,4.5,155446,9500000.0,10000000,0,0.0,1,0,0,0,0,1,1,0
147,0,0,0,1,0,0,4.5,418,4200000.0,100000,0,0.0,0,0,0,0,0,1,1,0
148,0,0,0,1,0,0,4.4,22486,5400000.0,1000000,0,0.0,1,0,0,0,0,1,1,0
149,0,0,0,1,0,0,4.5,203130,5400000.0,10000000,0,0.0,0,0,0,0,0,1,1,0
150,0,0,0,1,0,0,4.6,1435,2800000.0,500000,0,0.0,0,0,0,0,0,1,1,0
151,0,0,0,1,0,0,4.8,116507,5000000.0,1000000,0,0.0,1,0,0,0,0,1,1,0
152,0,0,0,1,0,0,3.9,1433233,5000000.0,1000000000,0,0.0,1,0,0,0,0,1,1,0
153,0,0,0,1,0,0,4.6,90468,5900000.0,5000000,0,0.0,0,0,0,0,0,1,1,0
154,0,0,0,1,0,0,4.2,860,13000000.0,100000,0,0.0,0,0,0,0,0,1,1,0
155,0,0,0,1,0,0,4.1,363934,7100000.0,10000000,0,0.0,0,0,0,0,0,1,1,0
156,0,0,0,1,0,0,4.7,967,6700000.0,500000,0,0.0,0,0,0,0,0,1,1,0
157,0,0,0,1,0,0,4.2,87873,6700000.0,10000000,0,0.0,1,0,0,0,0,1,1,0
158,0,0,0,1,0,0,4.3,17506,17000000.0,1000000,0,0.0,0,0,0,0,0,1,1,0
159,0,0,0,1,0,0,3.3,1862,19000000.0,1000000,0,0.0,0,0,0,0,0,1,1,0
160,0,0,0,1,0,0,4.6,2084,6700000.0,500000,0,0.0,0,0,0,0,0,1,1,0
161,0,0,0,1,0,0,4.8,47303,21000000.0,1000000,0,0.0,0,0,0,0,0,1,1,0
162,0,0,0,1,0,0,4.7,19080,21000000.0,500000,0,0.0,0,0,0,0,0,1,1,0
164,0,0,0,1,0,0,4.1,85842,37000000.0,5000000,0,0.0,0,0,0,0,0,1,1,0
165,0,0,0,1,0,0,4.6,7831,15000000.0,100000,0,0.0,1,0,0,0,0,1,1,0
166,0,0,0,1,0,0,4.1,91615,23000000.0,5000000,0,0.0,2,0,0,0,0,1,1,0
167,0,0,0,1,0,0,4.6,4620,19000000.0,500000,0,0.0,0,0,0,0,0,1,1,0
168,0,0,0,1,0,0,4.7,21336,23000000.0,1000000,0,0.0,0,0,0,0,0,1,1,0
169,0,0,0,1,0,0,4.5,26875,73000000.0,500000,0,0.0,0,0,0,0,0,1,1,0
170,0,0,0,1,0,0,3.9,1778,4900000.0,500000,0,0.0,2,0,0,0,0,1,1,0
171,0,0,0,1,0,0,4.4,2709,6800000.0,1000000,0,0.0,0,0,0,0,0,1,1,0
172,0,0,0,1,0,0,4.3,64513,6800000.0,5000000,0,0.0,0,0,0,0,0,1,1,0
173,0,0,0,1,0,0,4.2,8342,6800000.0,10000000,0,0.0,0,0,0,0,0,1,1,0
174,0,0,0,1,0,0,4.5,527,2900000.0,100000,0,0.0,0,0,0,0,0,1,1,0
175,0,0,0,1,0,0,4.4,1322,3500000.0,100000,0,0.0,0,0,0,0,0,1,1,0
176,0,0,0,1,0,0,3.4,1680,4000000.0,100000,0,0.0,0,0,0,0,0,1,1,0
177,0,0,0,1,0,0,4.9,2739,21000000.0,50000,0,0.0,0,0,0,0,0,1,1,0
178,0,0,0,1,0,0,4.6,1065,2300000.0,500000,0,0.0,0,0,0,0,0,1,1,0
179,0,0,0,1,0,0,4.4,233757,2300000.0,10000000,0,0.0,0,0,0,0,0,1,1,0
181,0,0,0,1,0,0,4.4,8788,10000000.0,1000000,0,0.0,0,0,0,0,0,1,1,0
182,0,0,0,1,0,0,4.4,51269,6100000.0,1000000,0,0.0,0,0,0,0,0,1,1,0
183,0,0,0,1,0,0,4.4,30105,2100000.0,1000000,0,0.0,0,0,0,0,0,1,1,0
184,0,0,0,1,0,0,3.5,156,42000000.0,500000,0,0.0,0,0,0,0,0,1,1,0
186,0,0,0,1,0,0,4.4,341157,30000000.0,10000000,0,0.0,1,0,0,0,0,1,1,0
187,0,0,0,1,0,1,4.1,16129,30000000.0,10000000,0,0.0,0,0,0,0,0,1,1,1
188,0,0,0,1,0,1,4.3,674730,30000000.0,50000000,0,0.0,0,0,0,0,0,1,1,1
189,0,0,0,1,0,1,4.4,1254730,30000000.0,10000000,0,0.0,0,0,0,0,0,1,1,1
190,0,0,0,1,0,1,4.3,85185,29000000.0,5000000,0,0.0,0,0,0,0,0,1,1,1
191,0,0,0,1,0,1,4.3,32584,29000000.0,1000000,0,0.0,0,0,0,0,0,1,1,1
192,0,0,0,1,0,1,4.1,217730,29000000.0,50000000,0,0.0,0,0,0,0,0,1,1,1
193,0,0,0,1,0,1,4.4,70991,29000000.0,5000000,0,0.0,0,0,0,0,0,1,1,1
194,0,0,0,1,0,1,4.3,1002861,35000000.0,100000000,0,0.0,0,0,0,0,0,1,1,1
195,0,0,0,1,0,1,3.9,16589,9100000.0,1000000,0,0.0,0,0,0,0,0,1,1,1
196,0,0,0,1,0,1,4.8,148945,25000000.0,1000000,0,0.0,0,0,0,0,0,1,1,1
197,0,0,0,1,0,1,4.5,4458,3900000.0,500000,0,0.0,0,0,0,0,0,1,1,1
198,0,0,0,1,0,1,4.4,62272,18000000.0,10000000,0,0.0,0,0,0,0,0,1,1,1
199,0,0,0,1,0,1,4.0,8941,12000000.0,5000000,0,0.0,0,0,0,0,0,1,1,1
200,0,0,0,1,0,1,4.3,46353,21000000.0,1000000,0,0.0,0,0,0,0,0,1,1,1
201,0,0,0,1,0,1,4.0,1279184,21000000.0,50000000,0,0.0,0,0,0,0,0,1,1,1
202,0,0,0,1,0,1,4.2,88073,21000000.0,10000000,0,0.0,0,0,0,0,0,1,1,1
203,0,0,0,1,0,1,4.5,67000,21000000.0,1000000,0,0.0,0,0,0,0,0,1,1,1
204,0,0,0,1,0,1,4.2,159872,21000000.0,10000000,0,0.0,0,0,0,0,0,1,1,1
205,0,0,0,1,0,1,4.2,30847,55000000.0,5000000,0,0.0,0,0,0,0,0,1,1,1
206,0,0,0,1,0,1,4.6,188841,3200000.0,5000000,0,0.0,0,0,0,0,0,1,1,1
207,0,0,0,1,0,1,4.1,11622,3200000.0,5000000,0,0.0,0,0,0,0,0,1,1,1
208,0,0,0,1,0,1,4.6,95912,3200000.0,5000000,0,0.0,0,0,0,0,0,1,1,1
209,0,0,0,1,0,1,3.1,4034,23000.0,100000,0,0.0,0,0,0,0,0,1,1,1
210,0,0,0,1,0,1,3.9,45964,16000000.0,1000000,0,0.0,0,0,0,0,0,1,1,1
211,0,0,0,1,0,1,4.3,14955,16000000.0,1000000,0,0.0,0,0,0,0,0,1,1,1
212,0,0,0,1,0,1,4.1,6903,14000000.0,1000000,0,0.0,0,0,0,0,0,1,1,1
213,0,0,0,1,0,1,4.4,31614,37000000.0,10000000,0,0.0,0,0,0,0,0,1,1,1
214,0,0,0,1,0,1,4.1,23055,37000000.0,5000000,0,0.0,0,0,0,0,0,1,1,1
215,0,0,0,1,0,1,4.1,19023,37000000.0,1000000,0,0.0,0,0,0,0,0,1,1,1
216,0,0,0,1,0,1,4.5,207372,11000000.0,5000000,0,0.0,0,0,0,0,0,1,1,1
217,0,0,0,1,0,1,4.4,1225,25000000.0,100000,0,0.0,0,0,0,0,0,1,1,1
218,0,0,0,1,0,1,4.4,380837,7300000.0,10000000,0,0.0,0,0,0,0,0,1,1,1
219,0,0,0,1,0,1,4.3,10600,6500000.0,1000000,0,0.0,0,0,0,0,0,1,1,1
220,0,0,0,1,0,1,4.4,74359,25000000.0,1000000,0,0.0,0,0,0,0,0,1,1,1
221,0,0,0,1,0,1,4.6,822,3100000.0,100000,0,0.0,0,0,0,0,0,1,1,1
222,0,0,0,1,0,1,4.2,80805,3100000.0,5000000,0,0.0,0,0,0,0,0,1,1,1
223,0,0,0,1,0,1,4.4,2287,1500000.0,1000000,0,0.0,0,0,0,0,0,1,1,1
224,0,0,0,1,0,1,4.7,4162,7500000.0,100000,0,0.0,0,0,0,0,0,1,1,1
225,0,0,0,1,0,1,3.8,14760,8600000.0,50000000,0,0.0,0,0,0,0,0,1,1,1
226,0,0,0,1,0,1,3.9,23243,8600000.0,5000000,0,0.0,0,0,0,0,0,1,1,1
228,0,0,0,1,0,1,4.3,8978,8600000.0,1000000,0,0.0,0,0,0,0,0,1,1,1
229,0,0,0,1,0,1,4.2,80805,8600000.0,5000000,0,0.0,0,0,0,0,0,1,1,1
230,0,0,0,1,0,1,4.4,42492,8600000.0,1000000,0,0.0,0,0,0,0,0,1,1,1
231,0,0,0,1,0,1,4.7,286897,39000000.0,10000000,0,0.0,0,0,0,0,0,1,1,1
232,0,0,0,1,0,1,4.5,103755,14000000.0,10000000,0,0.0,0,0,0,0,0,1,1,1
233,0,0,0,1,0,1,4.2,46505,19000000.0,1000000,0,0.0,0,0,0,0,0,1,1,1
234,0,0,0,1,0,1,4.7,11442,6800000.0,100000,1,4.99,0,0,0,0,0,1,1,1
235,0,0,0,1,0,1,4.8,10295,39000000.0,100000,1,4.99,0,0,0,0,0,1,1,1
236,0,0,0,1,0,1,4.2,159872,39000000.0,10000000,0,0.0,0,0,0,0,0,1,1,1
237,0,0,0,1,0,1,4.2,296,14000000.0,50000,0,0.0,0,0,0,0,0,1,1,1
238,0,0,0,1,0,1,4.3,29313,20000000.0,5000000,0,0.0,0,0,0,0,0,1,1,1
239,0,0,0,1,0,1,4.4,70991,20000000.0,5000000,0,0.0,0,0,0,0,0,1,1,1
240,0,0,0,1,0,1,4.4,51507,20000000.0,5000000,0,0.0,0,0,0,0,0,1,1,1
241,0,0,0,1,0,1,4.1,1802,26000000.0,100000,0,0.0,0,0,0,0,0,1,1,1
242,0,0,0,1,0,1,3.8,1383,51000000.0,100000,0,0.0,0,0,0,0,0,1,1,1
243,0,0,0,1,0,1,4.3,23175,41000000.0,1000000,0,0.0,0,0,0,0,0,1,1,1
244,0,0,0,1,0,1,3.8,5868,20000000.0,500000,0,0.0,0,0,0,0,0,1,1,1
245,0,0,0,1,0,1,3.5,2111,20000000.0,100000,0,0.0,0,0,0,0,0,1,1,1
246,0,0,0,1,0,1,4.1,5448,12000000.0,500000,0,0.0,0,0,0,0,0,1,1,1
247,0,0,0,1,0,1,4.6,4159,48000000.0,500000,0,0.0,0,0,0,0,0,1,1,1
248,0,0,0,1,0,1,4.3,20815,10000000.0,1000000,0,0.0,0,0,0,0,0,1,1,1
249,0,0,0,1,0,1,4.5,78662,22000000.0,1000000,0,0.0,0,0,0,0,0,1,1,1
250,0,0,0,1,0,1,4.1,7149,11000000.0,1000000,0,0.0,0,0,0,0,0,1,1,1
251,0,0,0,1,0,1,4.5,3079,8500000.0,100000,0,0.0,0,0,0,0,0,1,1,1
252,0,0,0,1,0,1,4.6,5800,8600000.0,100000,0,0.0,0,0,0,0,0,1,1,1
253,0,0,0,1,0,1,4.0,6989,8600000.0,1000000,0,0.0,0,0,0,0,0,1,1,1
254,0,0,0,1,0,1,4.2,16422,28000000.0,1000000,0,0.0,0,0,0,0,0,1,1,1
255,0,0,0,1,0,1,4.4,108741,28000000.0,10000000,0,0.0,0,0,0,0,0,1,1,1
256,0,0,0,1,0,1,4.4,31614,37000000.0,10000000,0,0.0,0,0,0,0,0,1,1,1
257,0,0,0,1,0,1,4.0,624,9000000.0,100000,0,0.0,0,0,0,0,0,1,1,1
258,0,0,0,1,0,1,4.2,1661,46000000.0,100000,0,0.0,0,0,0,0,0,1,1,1
259,0,0,0,1,0,1,4.2,97702,46000000.0,5000000,0,0.0,0,0,0,0,0,1,1,1
260,0,0,0,1,0,1,4.1,308,14000000.0,50000,0,0.0,0,0,0,0,0,1,1,1
261,0,0,0,1,0,1,4.0,6989,14000000.0,1000000,0,0.0,0,0,0,0,0,1,1,1
262,0,0,0,1,0,1,3.8,5211,26000000.0,1000000,0,0.0,0,0,0,0,0,1,1,1
263,0,0,0,1,0,1,3.9,1058,23000000.0,500000,0,0.0,0,0,0,0,0,1,1,1
264,0,0,0,1,0,1,3.9,78172,23000000.0,10000000,0,0.0,0,0,0,0,0,1,1,1
265,0,0,0,1,0,1,4.2,159872,23000000.0,10000000,0,0.0,0,0,0,0,0,1,1,1
266,0,0,0,1,0,1,4.2,296,14000000.0,50000,0,0.0,0,0,0,0,0,1,1,1
267,0,0,0,1,0,1,4.3,29313,20000000.0,5000000,0,0.0,0,0,0,0,0,1,1,1
268,0,0,0,1,0,1,4.4,70991,20000000.0,5000000,0,0.0,0,0,0,0,0,1,1,1
269,0,0,0,1,0,1,4.4,51507,20000000.0,5000000,0,0.0,0,0,0,0,0,1,1,1
270,0,0,0,1,0,1,4.1,1802,26000000.0,100000,0,0.0,0,0,0,0,0,1,1,1
271,0,0,0,1,0,1,3.8,1383,51000000.0,100000,0,0.0,0,0,0,0,0,1,1,1
272,0,0,0,1,0,1,4.3,23175,41000000.0,1000000,0,0.0,0,0,0,0,0,1,1,1
273,0,0,0,1,0,1,3.8,5868,20000000.0,500000,0,0.0,0,0,0,0,0,1,1,1
274,0,0,0,1,0,1,3.5,2111,20000000.0,100000,0,0.0,0,0,0,0,0,1,1,1
275,0,0,0,1,0,1,4.1,5448,12000000.0,500000,0,0.0,0,0,0,0,0,1,1,1
